CNPJ_Fundo;Data_Referencia;Versao;Numero_Processo;Juizo;Instancia;Data_Instauracao;Valor_Causa;Partes_Processo;Chance_Perda;Principais_Fatos;Analise_Impacto_Perda
01.657.856/0001-05;2020-12-01;1;0534802-22.2018.8.05.0001 - AÇÃO DE DESPEJO;10ª VARA CIVEL DE SALVADOR/BA.;1ª Instância;2018-06-14;31017.22;SCP FUNDO DE INVESTIMENTO IMOBILIÁRIO (PARTE AUTORA) X K TIRZAH PEREIRA LACERDA-ME;POSSÍVEL;EM 14/06/2018, AÇÃO DISTRIBUIDA. EM 20/06/2018, DESPACHO PUBLICADO DETERMINNADO A REGULARIZAÇÃO DA REPRESENTAÇÃO. EM 21/06/2018, PETIÇÃO INFORMANDO A REGULARIDADE DA REPRESENTAÇÃO E REQUERENDO O PROSSEGUIMENTO DO FEITO.  EM 26/09/2018, PUBLICADO DESPACHO REJEITANDO O PEDIDO LIMINAR E DETERMINANDO A CITAÇÃO DO RÉU. EM 15/10/2018 , EXPEDIDA CARTA CITATÓRIA. EM 17/10/2018, PUBLICADO DESPACHO INTIMANDO PARTE AUTORA PARA COMPARECER A AUDIENCIA EM 13/12/2018, AS 08:45H. EM 29/10/2018 , JUNTADA DE AR POSITIVO. EM 12/12/2018, PROTOCOLADA PETIÇÃO REQUERENDO A SUSPENSÃO DO PROCESO POR 30 DIAS EM RAZÃO DA TENTATIVA DE REALIZAÇÃO DE ACORDO. EM 11/03/2019, PROTOCOLADA PETIÇÃO PELA PARTE AUTORA REQUERENDO PROSSEGUIMENTO DO FEITO. EM 21/03/2019, AUTOS CONCLUSOS. EM 09/05/2019, PUBLICADO DESPACHO DETERMINANDO QUE A SECRETARIA VERIFIQUE O TRANSCURSO DO PRAZO E O OFERECIMENTO DE CONTESTAÇÃO. EM 14/05/2019, PUBLICADA DECISÃO JULGANDO PROCEDENTE O PEDIDO..  EM 31/07/2019, FEITA A DEVOLUÇÃO DA LOJA AO LOCADOR..EM 01/02/2021- PUBLICADO DESPACHO DETERMINANDO ARQUIVAMENTO DOS AUTOS EM 02/02/2021 - PETIÇÃO PEDINDO ARQUIVAMENTO EM 26/02/2021 - SEM MOVIMENTAÇÕES POSTERIORES;No caso de perda, o Fundo deixara de receber os valores e portanto os valores deixarão de ser distribuidos aos cotistas.
01.657.856/0001-05;2020-12-01;1;0547094-39.2018.8.05.0001 - AÇÃO DE DESPEJO;8ª VARA CIVEL DE SALVADOR/BA.;1ª Instância;2018-08-10;64220.4;SCP FUNDO DE INVESTIMENTO IMOBILIÁRIO (PARTE AUTORA)  X THIAGO MAIA GALVÃO FERREIRA (TERCEIRO OFICIO);POSSÍVEL;EM 10/08/2018, AÇÃO DISTRIBUÍDA. EM 10/08/2018, AUTOS CONCLUSOS. EM 16/08/2018, PUBLICADO DESPACHO INICIAL. EM 22/08/2018, EXPEDIDA CARTA DE CITAÇÃO. EM 11/09/2018, JUNTADA DE AR POSITIVO. EM 02/02/2019, JUNTADA DE AR POSITIVO. EM 03/02/2019, JUNTADA DE AR NEGATIVO. EM  20/03/2019, PUBLICADO DESPACHO INTIMANDO PARTE AUTORA PARA SE MANIFESTAR NO PRAZO DE 10 DIAS ACERCA DO RETORNO NO AR. EM 05/04/2019, PROTOCOLADA PETIÇÃO REQUERENDO UTILIZAÇÃO DO INFOJUD. EM 12/04/2019, AUTOS CONCLUSOS. EM 20/05/2019, PUBLICADO DESPACHO DEFERINDO A UTILIZAÇÃO DO INFOJUD APOS PAGAMENTO DAS CUSTAS. EM 24/05/2019, PROTOCOLADA PETIÇÃO JUNTANDO CUSTAS PARA CITAÇÃO EM NOVO ENDEREÇO. EM 20/10/2020, PROTOCOLADA PETIÇÃO REQUERENDO JULGAMENTO ANTECIPADO DA LIDE. EM 18/02/2021 - AUTOS CONCLUSOS PARA DESPACHOEM 26/02/2021 - SEM MOVIMENTAÇÕES POSTERIORES;No caso de perda, o Fundo deixara de receber os valores e portanto os valores deixarão de ser distribuidos aos cotistas.
01.657.856/0001-05;2020-12-01;1;8085355-57.2019.8.05.0001 - AÇÃO DE DESPEJO;9ª VARA CIVEL DE SALVADOR/BA.;1ª Instância;2019-12-13;53996.76;SCP FUNDO DE INVESTIMENTO IMOBILIÁRIO (PARTE AUTORA)  X ELIETE DA SILVA CERQUEIRA (DONDOCAS STORE);POSSÍVEL;EM 13/12/2019, AÇÃO DISTRIBUÍDA. EM 13/12/2019, AUTOS CONCLUSOS. EM 16/12/2019, CONCEDIDA A MEDIDA LIMINAR. EM 05/01/2020, REALIZADO ACORDO PARA PAGAMENTO DA DIVIDA. EM 03/09/20, PROTOCOLADA PETIÇÃO COMUNICANDO 2º ACORDO REALIZADO PARA PAGAMENTO DO DÉBITO. EM 08/06/2021 - SENTENÇA HOMOLOGANDO ACORDO - AGUARDANDO CUMPRIMENTO INTEGRAL DO ACORDOEM 26/02/2021- SEM MOVIMENTAÇÕES POSTERIORES;No caso de perda, o Fundo deixara de receber os valores e portanto os valores deixarão de ser distribuidos aos cotistas.
01.657.856/0001-05;2020-12-01;1;8021504-10.2020.8.05.0001 - AÇÃO DE DESPEJO;4ª V CÍVEL E COMERCIAL DE SALVADOR;1ª Instância;2020-02-21;10865.76;SCP FUNDO DE INVESTIMENTO IMOBILIÁRIO (PARTE AUTORA)  X ALLERIA GRILL RESTAURANTE EIRELI - ME;POSSÍVEL;EM 21/02/2020, AÇÃO DISTRIBUIDA. EM 21/02/2020 AUTOS CONCLUSOS. EM 11/03/2020, PUBLICADO DESPACHO INICIAL DETERMINANDO A CITAÇÃO E INTIMANDO PARA AUDIENCIA EM 07/07/20. EM 26/03/2020, JUNTADA DE AR NEGATIVO. EM 06/07/2020, PROTOCOLADA PETIÇÃO REQUERENDO NOVA DIGILENCIA PARA CITAÇÃO POR OFICIAL E INFORMANDO NÃO TER INTERESSE NA REALIZAÇÃO DE CONCILIAÇÃO.  EM 31/08/2020, AUTOS CONCLUSOS. EM 01/09/2020  PROFERIDO DESPACHO INTIMANDO O AUTOR PARA MANIFESTAR INTERESSE NA REALIZAÇÃO DE CITAÇÃO POR OFICIAL DE JUSTIÇA. EM 15/09/2020, PROTOCOLADA PETIÇÃO REITERANDO PEDIDO DE CITAÇÃO POR OFICIAL DE JUSTIÇA. EM 15/10/2020, EXPEDIDO DESPACHO VIA SISTEMA. EM 02/02/2021 - PETIÇÃO REITERANDO O PEDIDO DE CITAÇÃO POR OFICIAL DE JUSTIÇA. EM 26/02/2021 - SEM MOVIMENTAÇÕES POSTERIORES;No caso de perda, o Fundo deixara de receber os valores e portanto os valores deixarão de ser distribuidos aos cotistas.
01.657.856/0001-05;2020-12-01;1;8129310-07.2020.8.05.0001 - AÇÃO DE DESPEJO;3ª V CÍVEL E COMERCIAL DE SALVADOR;1ª Instância;2020-11-12;63911.28;SCP FUNDO DE INVESTIMENTO IMOBILIÁRIO (PARTE AUTORA)  X VAMSERVICE OMERIO VAREJISTA DE ARTIGOS DE OTICA LTDA;POSSÍVEL;EM 12/11/2020, AÇÃO DISTRIBUIDA. EM 12/11/2020, AUTOS CONCLUSOS. EM 29/11/2020, PUBLICADO DESPACHO DETERMINANDO CITAÇÃO DOS ACIONADOS. EM 14/12/2020 - JUNTADA DE PETIÇÃO REQUERENDO O PROSSEGUIMENTO DO FEITO E DEFERIMENTO DA LIMINAR. EM 02/02/2021 - PETIÇÃO REITERANDO O PROSSEGUIMENTO DO FEITO. EM 18.02.2021 - LOJA DEVOLVIDA EM 24.02.2021 - AUTOS CONCLUSOS PARA DECISÃOEM 26.02.2021 - SEM MOVIMENTAÇÕES POSTERIORES;No caso de perda, o Fundo deixara de receber os valores e portanto os valores deixarão de ser distribuidos aos cotistas.
01.657.856/0001-05;2020-12-01;1;0578326-74.2015.8.05.0001 - AÇÃO DE EXECUÇÃO;9 VARA CIVEL DE SALVADOR/BA.;1ª Instância;2019-10-22;44350.86;SCP FUNDO DE INVESTIMENTO IMOBILIÁRIO (PARTE AUTORA)  X 2WU PRODUTOS NATURAIS LTDA-ME;POSSÍVEL;EM 18/12/2015, PROCESSO DISTRIBUIDO. EM 26/01/2016, EXPEDIDO MANDADO DE CITAÇÃO. EM 19/03/2016,  MANDADO DEVOLVIDO SEM CUMPRIMENTO. DILIGENCAMOS NOVO ENDEREÇO PARA FINS DE CITAÇÃO. EM 17/01/2017, JUNTADA PETIÇÃO REQUERENDO A EXPEDIÇÃO DOS MANDADOS DE CITAÇÃO PENDENTES. EM 31/01/2017, DESPACHO DETERMINNADO A EXPEDIÇÃO DE MANDADOS DE CITAÇÃO. EM 19/04/2017, JUNTADA DE MANDADOS NEGATIVOS DE CITAÇÃO. EM 26/04/2017, DESPACHO PUBLICADO INTIMANDO A PARTE AUTORA A SE MANIFESTAR SOBRE AS CERTIDÕES. EM 08/05/2017, PROTOCOLADA PETIÇÃO INDICANDO NOVOS ENDEREÇOS, SOLICITANDO CITAÇÃO POR AR E JUNTANDO CUSTAS PAGAS. EM 14/06/17, REALIZADA DILIGENCIA NO CARTÓRIO. EM 14/06/17, AUTOS CONCLUSOS. EM 22/06/2017, DESPACHO PUBLICADO DEFERINDO O PEDIDO DE NOVA CITAÇÃO. REALIZADAS DILIGÊNCIAS NO CARTÓRIO PARA EXPEDIÇÃO DE CARTAS DE CITAÇÃO. EM 25/10/217, PUBLICADO DESPACHO INTIMANDO A PARTE AUTORA A RECOLHER CUSTAS DE CITAÇÃO. EM 25/10/2017, PROTOCOLADA PETIÇÃO INFORMANDO QUE AS CUSTAS JÁ FORAM RECOLHIDAS E JUNTADAS AO PROCESSO. EM 29/11/2017, AUTOS CONCLUSOS. EM 19/06/2019, PUBLICADO DESPACHO INTIMANDO O AUTOR PARA REALIZAR O PAGAMENTO DAS CUSTAS. EM 10/07/2019, PROTOCOLADA PETIÇÃO JUNTANDO COMPROVANTE DE RECOLHIMENTO DAS CUSTAS. EM 22/10/2019, JUNTADA DE MANDADO NEGATIVO. EM 22/10/2019, JUNTADA DE OFICIO INFORMANDO A DISTRIBUÇÃO DO PROCESSO PARA UMA VARA CIVEL. EM 22/10/2019, AUTOS REMETIDOS A DISTRIBUIÇÃO. EM 23/10/2019, AUTOS CONCLUSOS. EM 29/10/2019, PUBLICADO DESPACHO INTIMANDO O EXEQUENTE PARA  SE MANIFESTAR DA CERTIDÃO DE FLS. 110. EM 04/11/2019, PROTOCOLADA PETIÇÃO PLEITEANDO PRAZO DE 30 DIAS PARA LOCALIZAR ALGUM ENDEREÇO CUJA EXECUTADA POSSA SER ENCONTRADA, BEM COMO, O PROSSEGUIMENTO DA CITAÇÃO DOS DEMAIS EXECUTADOS. EM 02/02/2021 - PETIÇÃO REQUERENDO O PROSSEGUIMENTO DO FEITOEM 26/02/2021 - SEM MOVIMENTAÇÕES POSTERIORES;No caso de perda, o Fundo deixara de receber os valores e portanto os valores deixarão de ser distribuidos aos cotistas.
01.657.856/0001-05;2020-12-01;1;0534998-89.2018.8.05.0001 - AÇÃO DE EXECUÇÃO;7ª VARA CIVEL DE SALVADOR/BA.;1ª Instância;2019-06-18;19771.98;SCP FUNDO DE INVESTIMENTO IMOBILIÁRIO (PARTE AUTORA)  X KDLL RESTAURANTE E BAR LTDA - ME;POSSÍVEL;EM18/06/2018, AÇÃO DISTRIBUÍDA. EM 18/07/2018, DESPACHO DETERMINANDO A CITAÇÃO DA RÉ. EM 15/08/2018, MANDADO EXPEDIDO. EM 12/11/2018, JUNTADA DE MANDADO NEGATIVO. EM  21/11/2018, PUBLICADO DESPACHO INTIMANDO PARTE AUTORA PARA SE MANIFESTAR EM 15 DIAS ACERCA DA CERTIDÃO NEGATIVA. EM 11/12/2018, PROTOCOLADA PETIÇÃO INDICANDO NOVO ENDEREÇO. EM 21/01/2019, AUTOS CONCLUSOS. EM 24/09/2019, PROTOCOLADA PETIÇÃO JUNTANDO COMPROVANTE DE RECOLHIMENTO DAS CUSTAS PARA CITAÇÃO DO OFICIAL DE JUSTIÇA. EM 11/02/2020M MANDADO EXPEDIDO. EM 16/03/2020, MANDADO NEGATIVO. EM 30/11/2020, SEM MOVIMENTAÇÕES POSTERIORES. EM 05/01/2021 - PETIÇÃO REQUERENDO A CITAÇÃO DA EXECUTADA NA PESSOA DO RESP. LEGAL. EM 26/02/2021 - SEM MOVIMENTAÇÕES POSTERIORES;No caso de perda, o Fundo deixara de receber os valores e portanto os valores deixarão de ser distribuidos aos cotistas.
01.657.856/0001-05;2020-12-01;1;0515709-39.2019.5.08.0001 - AÇÃO DE EXECUÇÃO;8ª VARA CIVEL DE SALVADOR/BA.;1ª Instância;2019-03-23;196594.24;SCP FUNDO DE INVESTIMENTO IMOBILIÁRIO (PARTE AUTORA)  X CYNTHIA TIRZAH ALBERTO PEREIRA MODAS EIRELI-ME;POSSÍVEL;EM 25/03/2019, AÇÃO DISTRIBUIDA.  EM 18/05/2019, DESPACHO DETERMINANDO A CITAÇÃO DA RÉ. EM 15/07/2019, MANDADO EXPEDIDO. EM 30/11/2019, AGUARDANDO A DEVOLUÇÃO DO MANDADO DE CITAÇÃO. EM 30/11/2020, SEM MOVIMENTAÇÕES POSTERIORES. EM 30/12/2020 - PETIÇÃO REQUERENDO A EXPEDIÇÃO DO MANDADO DE CITAÇÃO EM 26/02/2021 - SEM MOVIMENTAÇÕES POSTERIORES;No caso de perda, o Fundo deixara de receber os valores e portanto os valores deixarão de ser distribuidos aos cotistas.
01.657.856/0001-05;2020-12-01;1;8034578-68.2019.8.05.0001 - AÇÃO DE EXECUÇÃO;9ª VARA CIVEL DE SALVADOR/BA.;1ª Instância;2019-08-16;3178602.92;SCP FUNDO DE INVESTIMENTO IMOBILIÁRIO (PARTE AUTORA) X K TIRZAH PEREIRA LACERDA-ME;POSSÍVEL;EM 16/08/2019, AÇÃO DISTRIBUIDA. EM 09/08/2019, DESPACHO PUBLICADO DETERMINNADO A CITAÇÃO DA PARTE RÉ. EM 15/10/2019, MANDADO EXPEDIDO. EM 04/12/19, PUBLICADO DESPACHO DE INTIMAÇÃO. EM 09/12/2019, JUNTADA DE AVISO DE RECEBIMENTO. EM 30/11/20, SEM MOVIMENTAÇÕES POSTERIORES. EM 30/12/2020 - PETIÇÃO REQUERENDO A EXPEDIÇÃO DO MANDADO DE CITAÇÃOEM 26/02/2021 - SEM MOVIMENTAÇÕES POSTERIORES;No caso de perda, o Fundo deixara de receber os valores e portanto os valores deixarão de ser distribuidos aos cotistas.
01.657.856/0001-05;2020-12-01;1;8106247-50.2020.8.05.0001 - AÇÃO DE EXECUÇÃO;3ª V CÍVEL E COMERCIAL DE SALVADOR;1ª Instância;2020-09-25;1341897.69;SCP FUNDO DE INVESTIMENTO IMOBILIÁRIO (PARTE AUTORA)  X RODRIGO RODRIGUES NUNES (FIADOR DA RICARDO ELETRO);POSSÍVEL;###############################################################################################################################################################################################################################################################;No caso de perda, o Fundo deixara de receber os valores e portanto os valores deixarão de ser distribuidos aos cotistas.
01.657.856/0001-05;2020-12-01;1;8000222-13.2020.8.05.0001 - AÇÃO DE EXECUÇÃO;5ª V CÍVEL E COMERCIAL DE SALVADOR;1ª Instância;2020-01-02;27412.58;SCP FUNDO DE INVESTIMENTO IMOBILIÁRIO (PARTE AUTORA)  X ENXOVAIS BABY COMÉRCIO E CONFECÇÕES LTDA;POSSÍVEL;###############################################################################################################################################################################################################################################################;No caso de perda, o Fundo deixara de receber os valores e portanto os valores deixarão de ser distribuidos aos cotistas.
01.657.856/0001-05;2020-12-01;1;8021447-89.2020.8.05.0001 - AÇÃO DE EXECUÇÃO;3ª V CÍVEL E COMERCIAL DE SALVADOR;1ª Instância;2020-02-21;10802.15;SCP FUNDO DE INVESTIMENTO IMOBILIÁRIO (PARTE AUTORA)  X ESPÓLIO DE REGINALDA CARVALHO ACIPRESTE DE SOUZA;POSSÍVEL;###############################################################################################################################################################################################################################################################;No caso de perda, o Fundo deixara de receber os valores e portanto os valores deixarão de ser distribuidos aos cotistas.
01.657.856/0001-05;2020-12-01;1;8022159-79.2020.8.05.0001 - AÇÃO DE EXECUÇÃO;8ª V CÍVEL E COMERCIAL DE SALVADOR;1ª Instância;2020-02-26;224595.85;SCP FUNDO DE INVESTIMENTO IMOBILIÁRIO (PARTE AUTORA) X FARMÁCIAS DO TRABALHADOR;POSSÍVEL;###############################################################################################################################################################################################################################################################;No caso de perda, o Fundo deixara de receber os valores e portanto os valores deixarão de ser distribuidos aos cotistas.
01.657.856/0001-05;2020-12-01;1;8000225-65.2020.8.05.0001 - AÇÃO DE EXECUÇÃO;7ª V CÍVEL E COMERCIAL DE SALVADOR;1ª Instância;2020-01-02;14713.29;SCP FUNDO DE INVESTIMENTO IMOBILIÁRIO (PARTE AUTORA)  X GRAZIELLE SANTOS CERQUEIRA;POSSÍVEL;###############################################################################################################################################################################################################################################################;No caso de perda, o Fundo deixara de receber os valores e portanto os valores deixarão de ser distribuidos aos cotistas.
01.657.856/0001-05;2020-12-01;1;1088556-25.2018.8.26.0100 - RECUPERAÇÃO EXTRAJUDICIAL;1ª VARA DE FALÊNCIAS E RECUPERAÇÕES JUDICIAIS - FORO CENTRAL CÍVEL DO TRIBUNAL DE JUSTIÇA DO ESTADO DE SÃO PAULO;1ª Instância;2018-08-28;1966662630.51;RN COMÉRCIO VAREJISTA S.A  (RICARDO ELETRO);POSSÍVEL;###############################################################################################################################################################################################################################################################;No caso de perda, o Fundo deixara de receber os valores e portanto os valores deixarão de ser distribuidos aos cotistas.
01.657.856/0001-05;2020-12-01;1;1070860-05.2020.8.26.0100 - RECUPERAÇÃO JUDICIAL;1ª VARA DE FALÊNCIAS E RECUPERAÇÕES JUDICIAIS - FORO CENTRAL CÍVEL DO TRIBUNAL DE JUSTIÇA DO ESTADO DE SÃO PAULO;1ª Instância;2020-08-07;4010449654.92;RN COMÉRCIO VAREJISTA S.A (RICARDO ELETRO);POSSÍVEL;###############################################################################################################################################################################################################################################################;No caso de perda, o Fundo deixara de receber os valores e portanto os valores deixarão de ser distribuidos aos cotistas.
01.657.856/0001-05;2020-12-01;1;1088556-25.2018.8.26.0100 - RECUPERAÇÃO EXTRAJUDICIAL;1ª VARA DE FALÊNCIAS E RECUPERAÇÕES JUDICIAIS - FORO CENTRAL CÍVEL DO TRIBUNAL DE JUSTIÇA DO ESTADO DE SÃO PAULO;1ª Instância;2020-08-28;1966662630.61;RN COMÉRCIO VAREJISTA S.A  (RICARDO ELETRO);POSSÍVEL;###############################################################################################################################################################################################################################################################;No caso de perda, o Fundo deixara de receber os valores e portanto os valores deixarão de ser distribuidos aos cotistas.
01.964.775/0001-40;2020-12-01;1;0393183-10.2000.8.06.0001/0;8 CÍVEL DE FORTALEZA;PRIMEIRA INSTÂNCIA;1998-09-17;364770.43;FUNDO DE INVESTIMENTO IMOBILIÁRIO GEO GUARARAPES - FIIGG x CONSTRUTORA E INCORPORADORA EXATA LTDA.;PROVÁVEL;PAGAMENTO DA 4ª ETAPA DE SERVIÇOS REALIZADOS NAS OBRAS DO COLÉGIO GEO GUARARAPES, DECORRENTE DO CONTRATO DE EMPREITADA GLOBAL FIRMADO EM 16/06/97;Apesar da sentença ter extinto o processo sem julgamento de merito, a apelação reformou a decisao, determinando a reabertura do processo de conhecimento, com a remessa dos autos para Jaboatao por conexao com a ação cautelar, tornando a PERDA POSSIVEL novamente
01.964.775/0001-40;2020-12-01;1;0394466-68.2000.8.06.0001/0;8 CÍVEL DE FORTALEZA;PRIMEIRA INSTÂNCIA;1998-09-25;289137;FUNDO DE INVESTIMENTO IMOBILIÁRIO GEO GUARARAPES - FIIGG x CONSTRUTORA E INCORPORADORA EXATA LTDA.;REMOTA;IMPEDIR O PROTESTO DE DUPLICATA RELATIVA À 4ª MEDIÇÃO DAS OBRAS DO COLÉGIO GeO GUARARAPES, DECORRENTE DO CONTRATO DE EMPREITADA GLOBAL PARA CONSTRUÇÃO DO COLÉGIO GEO GUARARAPES, FIRMADO EM 16/06/97;pedido não possui conteúdo econômico
01.964.775/0001-40;2020-12-01;1;0070475-36.1997.8.17.0810;2 CÂMARA CÍVEL;PRIMEIRA INSTÂNCIA;1997-09-26;1000;FUNDO DE INVESTIMENTO IMOBILIÁRIO GEO GUARARAPES - FIIGG x CONSTRUTORA E INCORPORADORA EXATA LTDA.;REMOTA;RETOMADA DE POSSE DO IMÓVEL OBJETO DO CONTRATO DE EMPREITADA GLOBAL PARA CONSTRUÇÃO DO COLÉGIO GEO GUARARAPES, FIRMADO EM 16/06/97,  PARA SEGUIR NA CONSTRUÇÃO DO COLÉGIO EM TEMPO HÁBIL, E IDENTIFICAÇÃO DAS IRREGULARIDADES COMETIDAS PELA RÉ QUE ENSEJARAM A RESOLUÇÃO DO CONTRATO.;pedido não tem conteúdo econômicoProferida sentença consolidando a posse do Autor no imóvel,
01.964.775/0001-40;2020-12-01;1;0007115-88.2001.8.17.0810;4  TURMA;PRIMEIRA INSTÂNCIA;2001-09-14;100000;FUNDO DE INVESTIMENTO IMOBILIÁRIO GEO GUARARAPES - FIIGG x COLÉGIO GEO GUARARAPES LTDA.;REMOTA;REVISÃO DA REMUNERAÇÃO MÍNIMA DO CONTRATO DE CONCESSÃO REMUNERADA DE USO DE TERRENO PARTICULAR E DE FUTURA EDIFICAÇÃO, CELEBRADO EM 20/05/1997,  ENTRE O FIIGG E O COLÉGIO GEO GUARARAPES, AO ÍNDICE DE 0,8% SOBRE O VALOR DE MERCADO DO BEM  (A SER DEFINIDO EM PERÍCIA), COM CORREÇÃO ANUAL PELO INCC DESDE JULHO DE 2000, REVISANDO-SE PELOS MESMOS ÍNDICES AS PARCELAS EM ATRASO;- Pedido de revisão dos aluguéis vencidos entre agosto de 2000 e dezembro de 2003, para pagamento da quantia estimada, em 02/2012, de R$ 10.466.073,80- Em 03/09/16 sentença proferida em audiencia julgando improcedente a ação revisional da parte adversa
01.964.775/0001-40;2020-12-01;1;0398209-86.2000.8.06.0001/0;8 CÍVEL DE FORTALEZA;PRIMEIRA INSTÂNCIA;1998-10-23;289137;FUNDO DE INVESTIMENTO IMOBILIÁRIO GEO GUARARAPES - FIIGG x CONSTRUTORA E INCORPORADORA EXATA LTDA.;REMOTA;DECRETAÇÃO DA NULIDADE DA DUPLICATA RELATIVA À 4ª MEDIÇÃO DAS OBRAS DO COLÉGIO GEO GUARARAPES, DECORRENTE DO CONTRATO DE EMPREITADA GLOBAL PARA CONSTRUÇÃO DO COLÉGIO GEO GUARARAPES, FIRMADO EM 16/06/97, ALÉM DE INDENIZAÇÃO POR PERDAS E DANOS PELO SEU APONTAMENTO A PROTESTO;O benefício econômico a ser obtido através desta ação é a nulidade da duplicata objeto da ação monitória, bem como indenização por danos morais e materiais decorrentes do seu protesto indevido.Estimativa de uma possível indenização a ser cominada pelo TJCE, em favor do FIIGG: R$ 30.000,00
01.964.775/0001-40;2020-12-01;1;0070476-21.1997.8.17.0810;3 COMARCA CÍVEL;PRIMEIRA INSTÂNCIA;1997-10-27;3964426.66;FUNDO DE INVESTIMENTO IMOBILIÁRIO GEO GUARARAPES - FIIGG x CONSTRUTORA E INCORPORADORA EXATA LTDA.;PROVÁVEL;RESCISÃO DO CONTRATO DE EMPREITADA GLOBAL PARA CONSTRUÇÃO DO COLÉGIO GEO GUARARAPES, FIRMADO EM 16/06/97, COM APURAÇÃO DE CRÉDITOS E DÉBITOS ORIUNDOS DA RELAÇÃO CONTRATUAL, PAGAMENTO DAS MULTAS CONTRATUAIS E PERDAS E DANOS A SEREM APURADAS EM LIQUIDAÇÃO, REINTEGRAÇÃO DEFINITIVA NA POSSE DO IMÓVEL;- Liquidação da sentença em termos atuais: R$2.224.527,03 (crédito Exata)- LIquidação em caso de provimento parcial do recurso do FIIGG: R$266.313,69 (crédito Exata)- Liquidação em caso de provimento total do recurso do FIIGG: R$ 4.672.342,65 (crédito FIIGG) Em 29/04/2000 foi proferida sentença declarando rescindido o contrato de empreitada por culpa do FIIGG e julgando procedente em parte a reconvenção da Construtora Exata, para condenar solidariamente o FIIGG e o Banco Schahin ao pagamento de indenização por perdas e danos à Reconvinte, referente aos créditos e débitos decorrentes do contrato e das medições de serviço extraordinários, a serem apurados em liquidação de sentença, com correção pelo IGP-M FGV e juros  a partir de 20/08/97, custas, e honorários fixados em 20% sobre o valor da Ação de Rescisão, e 15% sobre o valor da Reconvenção. APELAÇÃO Manteve o banco Schain na ação, deu provimento parcial ao apelo da EXATA e provimento parcial à apelação do FIIGG na cautelar e na ação principal, nos termos do voto do Relator.
01.964.775/0001-40;2020-12-01;1;0006798-56.2002.8.17.0810;4  cível;PRIMEIRA INSTÂNCIA;2002-08-09;24641567.75;FUNDO DE INVESTIMENTO IMOBILIÁRIO GEO GUARARAPES - FIIGG x COLÉGIO GEO GUARARAPES LTDA.;REMOTA;RESCISÃO DO CONTRATO DE CONCESSÃO REMUNERADA DE USO DE TERRENO PARTICULAR FIRMADO EM 20/05/1997, ENTRE O FIIGG E O COLÉGIO GEO GUARARAPES, DEVOLUÇÃO DO IMÓVEL AO FINAL DO ANO LETIVO DE 2002, MEDIANTE MANDADO REINTEGRATÓRIO, E CONDENAÇÃO DO GEO AO PAGAMENTO DA REMUNERAÇÃO MENSAL PREVISTA NA CLÁUSULA QUINTA DO CONTRATO, NO VALOR DE R$ 267.843,13, VENCIDAS E VINCENDAS APÓS 13/07/2002 ATÉ A EFETIVA DEVOLUÇÃO DO IMÓVEL, ACRESCIDA DE CORREÇÃO MONETÁRIA PELO IGPM A PARTIR DE AGOSTO DE 2002 (DISTRIBUIÇÃO DA AÇÃO), JUROS LEGAIS A PARTIR DA CITAÇÃO (OUTUBRO DE 2002), E MULTA DE 10% SOBRE O TOTAL DO DÉBITO, CONFORME PREVISÃO DA CLÁUSULA QUINTA, BEM COMO AO PAGAMENTO DO TRIBUTOS MUNICIPAIS E DEMAIS ENCARGOS DE RESPONSABILIDADE DO CESSIONÁRIO (CONFORME CLÁUSULA 2º, § 1º, DO CONTRATO), COM OS ACRÉSCIMOS LEGAIS, ATÉ A EFETIVA DEVOLUÇÃO DO IMÓVEL;- data da efetiva devolução do imóvel: 30/12/2003.- valor atualizado da cobrança objeto da ação, em 02/2012, R$ 19.362.186,14- Foi determinada a conexão e julgamento conjunto das ações revisional, de rescisão e indenizatória.Em 03/09/16 sentença proferida em audiencia julgando procedente a ação rescisoria c/c com cobrança, declarando o contrato rescindido e condenando o Geo e os fiadores ao pagamento da remuneração mensal correspondente a 1,25% do valor do contrato corrigido em cada vencimento, desde a mora delimitada na petição inicial, qual seja, 15/07/2002, até a disponibilização efetiva do Imóvel que ocorreu em dezembro/2003, além do pagamento de todos os encargos do imóvel (tributos, contas de consumo de água e luz), tudo nos termos do contrato, desde que efetivamente pagos e comprovados em fase de cumprimento de sentença, até a efetiva disponibilidade do imóvel ao FIIGG. Condenando ainda os réus em custas processuais relativas a ação rescisória e em honorarios de sucumbencia arbitrados em 100.000,00 (cem mil reais) para ambos os feitos julgados simultaneamente, em favor dos advogados do FIIGG
